Tool Name,Number of Times Invoked,Success Rate (%)
Office,1,100.00
add,3,100.00
cbrt,1,100.00
convert_webpage_url_into_markdown,7,100.00
download_raw_html_from_url,8,100.00
duckduckgo_search_results,27,100.00
extract_pdf,4,100.00
factorial,3,100.00
fibonacci_numbers,2,100.00
float,2,100.00
int_list_to_exponential_sum,2,100.00
parallel,1,100.00
power,3,100.00
remainder,1,100.00
replace,1,100.00
run_python_sandbox,10,100.00
search_stored_documents_rag,4,100.00
sin,1,100.00
solve,1,100.00
strings_to_chars_to_int,4,100.00
tan,1,100.00
